Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10,17,3,66,66,84,2,84,0.0,12.42,2.83,2.75
HTTP Request,20,127,56,321,324,339,1,339,0.0,26.21,5.96,5.81
HTTP Request,30,35,4,92,140,144,1,144,0.0,34.56,7.86,7.66
HTTP Request,40,26,3,96,123,134,1,134,0.0,44.79,10.19,9.93
HTTP Request,50,78,33,244,246,267,2,267,0.0,53.76,12.23,11.92
HTTP Request,60,10,3,42,54,63,1,63,0.0,66.45,15.12,14.73
HTTP Request,70,122,130,234,236,264,3,280,0.0,89.74,20.42,19.89
HTTP Request,100,37,3,138,145,155,1,169,0.0,121.80,27.71,27.00
HTTP Request,200,98,59,311,324,366,1,370,0.0,159.11,36.20,35.27
HTTP Request,300,639,494,1318,1336,1901,13,1935,0.0,113.04,25.72,25.06
HTTP Request,400,1935,1783,4076,4222,4317,1,4402,0.0,72.46,16.49,16.06
HTTP Request,500,2986,3272,5127,5161,5386,8,5573,0.006,76.82,18.54,16.93
HTTP Request,600,2421,2707,4368,4431,4593,20,4697,0.5,111.01,26.47,24.49